review,score,label,at,cleaned_review
"paket di keterangan udh sampai, tapi belum di terima mana nama yg terima paketnya ga kenal pula",0.0,neutral,2025-06-05 11:00:57,paket keterangan udh terima nama terima paketnya kenal
"GAK KURIR NYA, GAK CS NYA, SEMUA PARAH PERLAYANAN NYA, ANGKA RETUR TINGGI KARNA KINERJA KURIR SEENAKNYA SENDIRI, TIDAK ADA KONFIRMASI DAHULU KE PENERIMA, BAHKAN UANG COD SERING DI PAKAI DULU OLEH KURIR, PADAHAL PAKET SUDAH DI TERIMA. BUMN EMANG BIBROK!! MENDING SWASTA",0.0,neutral,2025-06-05 06:28:39,gak kurir nya gak nya parah perlayanan nya angka retur karna kinerja kurir konfirmasi penerima uang cod pakai kurir paket terima bumn emang bibrok mending swasta
mantap paket bisa dijemput kapanpun dan dimana pun ..,0.0,neutral,2025-06-05 01:34:04,mantap paket dijemput dimana
"jasa pengiriman yg joss, kirim kemana aja jadi lebih gampang",0.0,neutral,2025-06-05 00:46:56,jasa pengiriman joss kirim kemana aja gampang
kadang kadang eror,0.0,neutral,2025-06-05 00:34:50,kadang kadang eror
sangat bermanfaat,0.0,neutral,2025-06-04 23:57:23,bermanfaat
sempat puas dg layanan POS Aja... tp kesinisini makin ribet...,0.0,neutral,2025-06-04 16:51:47,puas layanan pos aja kesinisini ribet
"pengiriman ngga jelas,mending kelain aja yang pasti",0.0,neutral,2025-06-04 08:28:25,pengiriman ngga mending kelain aja
"dengan adanya aplikasi ini jadi memudahkan saya untuk melacak maupun melakukan pengiriman paket, MANTAP KANTOR POS 🔥",0.0,neutral,2025-06-04 05:09:34,aplikasi memudahkan melacak pengiriman paket mantap kantor pos
kirim-kirim paket lebih mudah🤗pake PosAja!😍,0.0,neutral,2025-06-04 04:08:27,kirim kirim paket mudah pake posaja
"good, memudahankan pengiriman paket",0.4404,positive,2025-06-04 02:57:27,good memudahankan pengiriman paket
"Mau kirim barang, dokumen, dan Cek biaya Kiriman jadi lebih mudah",0.0,neutral,2025-06-04 02:52:33,kirim barang dokumen cek biaya kiriman mudah
kirim paket pakai pos aja lebih mudah...,0.0,neutral,2025-06-04 02:15:12,kirim paket pakai pos aja mudah
"sangat mudah di gunakan, pelacakan paket sangat cepat jelas, dan akurat.",0.0,neutral,2025-06-04 00:58:20,mudah pelacakan paket cepat akurat
sampai kepelosok desa pengirimannya 👍,0.0,neutral,2025-06-04 00:14:23,kepelosok desa pengirimannya
kiriman cepat dan murah,0.0,neutral,2025-06-04 00:10:44,kiriman cepat murah
